start,end,duration_min
2018-08-23 08:50:00,2018-08-23 08:55:00,5.0
2018-08-23 12:55:00,2018-08-23 13:00:00,5.0
2018-08-23 13:10:00,2018-08-23 13:15:00,5.0
2018-08-23 13:20:00,2018-08-23 13:25:00,5.0
2018-08-23 13:35:00,2018-08-23 13:40:00,5.0
2018-08-23 15:25:00,2018-08-23 15:30:00,5.0
2018-08-23 15:40:00,2018-08-23 15:45:00,5.0
2018-08-23 18:20:00,2018-08-23 18:25:00,5.0
2018-08-23 18:40:00,2018-08-23 18:45:00,5.0
2018-08-26 17:35:00,2018-08-26 17:40:00,5.0
2018-08-28 03:45:00,2018-08-28 03:50:00,5.0
2018-08-28 04:15:00,2018-08-28 04:20:00,5.0
2018-08-28 11:30:00,2018-08-28 11:40:00,10.0
2018-08-28 21:45:00,2018-08-28 21:55:00,10.0
2018-08-28 22:05:00,2018-08-28 22:15:00,10.0
2018-09-03 07:15:00,2018-09-03 07:55:00,40.0
2018-09-04 10:05:00,2018-09-04 10:10:00,5.0
2018-09-04 21:45:00,2018-09-04 21:50:00,5.0
2018-09-06 23:45:00,2018-09-06 23:55:00,10.0
2018-09-09 05:15:00,2018-09-09 05:20:00,5.0
2018-09-11 01:55:00,2018-09-11 02:00:00,5.0
2018-09-11 02:25:00,2018-09-11 02:30:00,5.0
2018-09-20 23:45:00,2018-09-20 23:50:00,5.0
2018-10-28 05:35:00,2018-10-28 05:40:00,5.0
2018-10-28 20:45:00,2018-10-28 20:50:00,5.0
2018-10-28 22:05:00,2018-10-28 22:10:00,5.0
2018-10-28 22:20:00,2018-10-28 22:25:00,5.0
2018-11-02 11:10:00,2018-11-02 11:20:00,10.0
2018-11-02 16:00:00,2018-11-02 16:05:00,5.0
2018-11-03 21:45:00,2018-11-03 21:50:00,5.0
2018-11-08 20:05:00,2018-11-08 20:10:00,5.0
2018-11-08 22:05:00,2018-11-08 22:10:00,5.0
2018-11-08 22:25:00,2018-11-08 22:35:00,10.0
2018-11-08 22:45:00,2018-11-08 22:50:00,5.0
2018-11-17 19:15:00,2018-11-17 19:20:00,5.0
2019-02-11 09:30:00,2019-02-11 09:35:00,5.0
2019-02-17 02:40:00,2019-02-17 02:45:00,5.0
2019-03-21 06:55:00,2019-03-21 07:00:00,5.0
2019-03-21 20:50:00,2019-03-21 20:55:00,5.0
2019-03-21 22:05:00,2019-03-21 22:10:00,5.0
2019-03-22 01:45:00,2019-03-22 01:50:00,5.0
2019-03-22 07:15:00,2019-03-22 07:25:00,10.0
2019-03-22 14:55:00,2019-03-22 15:00:00,5.0
2019-03-22 16:25:00,2019-03-22 16:30:00,5.0
2019-03-22 16:35:00,2019-03-22 16:40:00,5.0
2019-03-22 16:45:00,2019-03-22 16:50:00,5.0
2019-03-22 16:55:00,2019-03-22 17:00:00,5.0
2019-03-22 17:05:00,2019-03-22 17:10:00,5.0
2019-03-23 16:50:00,2019-03-23 17:00:00,10.0
2019-03-24 04:55:00,2019-03-24 05:00:00,5.0
2019-03-24 23:00:00,2019-03-24 23:05:00,5.0
2019-03-25 13:05:00,2019-03-25 13:10:00,5.0
2019-03-25 14:40:00,2019-03-25 14:45:00,5.0
2019-03-26 00:15:00,2019-03-26 00:20:00,5.0
2019-03-26 16:15:00,2019-03-26 16:20:00,5.0
2019-03-26 19:50:00,2019-03-26 19:55:00,5.0
2019-03-26 20:25:00,2019-03-26 20:30:00,5.0
2019-03-26 20:45:00,2019-03-26 20:50:00,5.0
2019-03-26 21:45:00,2019-03-26 22:00:00,15.0
2019-03-27 16:45:00,2019-03-27 16:50:00,5.0
2019-03-31 10:35:00,2019-03-31 10:40:00,5.0
2019-03-31 10:45:00,2019-03-31 10:50:00,5.0
2019-03-31 11:15:00,2019-03-31 11:20:00,5.0
2019-03-31 11:30:00,2019-03-31 11:40:00,10.0
2019-03-31 16:10:00,2019-03-31 16:15:00,5.0
2019-04-01 16:10:00,2019-04-01 16:20:00,10.0
2019-05-22 02:45:00,2019-05-22 02:50:00,5.0
2019-06-30 01:00:00,2019-06-30 01:10:00,10.0
2019-07-10 01:20:00,2019-07-10 01:25:00,5.0
2019-08-19 17:25:00,2019-08-19 17:30:00,5.0
2019-08-31 05:10:00,2019-08-31 05:25:00,15.0
2019-08-31 05:40:00,2019-08-31 05:45:00,5.0
2019-09-01 13:25:00,2019-09-01 13:40:00,15.0
2019-11-01 06:40:00,2019-11-01 06:45:00,5.0
2019-11-03 17:30:00,2019-11-03 17:35:00,5.0
2019-11-03 18:05:00,2019-11-03 18:10:00,5.0
2019-11-03 22:45:00,2019-11-03 22:50:00,5.0
2019-11-03 23:35:00,2019-11-03 23:40:00,5.0
2019-11-04 01:15:00,2019-11-04 01:20:00,5.0
2019-11-05 00:30:00,2019-11-05 00:35:00,5.0
2019-11-05 00:40:00,2019-11-05 00:45:00,5.0
2019-11-05 14:35:00,2019-11-05 14:45:00,10.0
2019-11-05 20:15:00,2019-11-05 20:20:00,5.0
2019-11-05 20:30:00,2019-11-05 20:40:00,10.0
2019-11-05 20:45:00,2019-11-05 20:50:00,5.0
