,true,persist_pred,arima_pred
2020-02-05 04:15:00,888.46,902.29,891.6574460625744
2020-02-05 04:20:00,881.54,888.46,891.6574460625744
2020-02-05 04:25:00,892.37,881.54,891.6574460625744
2020-02-05 04:30:00,889.62,892.37,891.6574460625744
2020-02-05 04:35:00,879.59,889.62,891.6574460625744
2020-02-05 04:40:00,879.95,879.59,891.6574460625744
2020-02-05 04:45:00,882.56,879.95,891.6574460625744
2020-02-05 04:50:00,884.29,882.56,891.6574460625744
2020-02-05 04:55:00,904.78,884.29,891.6574460625744
2020-02-05 05:00:00,889.7,904.78,891.6574460625744
2020-02-05 05:05:00,884.5,889.7,891.6574460625744
2020-02-05 05:10:00,869.35,884.5,891.6574460625744
2020-02-05 05:15:00,904.3,869.35,891.6574460625744
2020-02-05 05:20:00,872.57,904.3,891.6574460625744
2020-02-05 05:25:00,883.03,872.57,891.6574460625744
2020-02-05 05:30:00,878.31,883.03,891.6574460625744
2020-02-05 05:35:00,877.42,878.31,891.6574460625744
2020-02-05 05:40:00,873.28,877.42,891.6574460625744
2020-02-05 05:45:00,877.74,873.28,891.6574460625744
2020-02-05 05:50:00,878.45,877.74,891.6574460625744
2020-02-05 05:55:00,895.23,878.45,891.6574460625744
2020-02-05 06:00:00,892.83,895.23,891.6574460625744
2020-02-05 06:05:00,886.43,892.83,891.6574460625744
2020-02-05 06:10:00,900.49,886.43,891.6574460625744
2020-02-05 06:15:00,889.41,900.49,891.6574460625744
2020-02-05 06:20:00,886.2,889.41,891.6574460625744
2020-02-05 06:25:00,879.75,886.2,891.6574460625744
2020-02-05 06:30:00,891.74,879.75,891.6574460625744
2020-02-05 06:35:00,884.99,891.74,891.6574460625744
2020-02-05 06:40:00,890.82,884.99,891.6574460625744
2020-02-05 06:45:00,879.49,890.82,891.6574460625744
2020-02-05 06:50:00,886.75,879.49,891.6574460625744
2020-02-05 06:55:00,880.31,886.75,891.6574460625744
2020-02-05 07:00:00,885.79,880.31,891.6574460625744
2020-02-05 07:05:00,889.13,885.79,891.6574460625744
2020-02-05 07:10:00,885.84,889.13,891.6574460625744
2020-02-05 07:15:00,885.56,885.84,891.6574460625744
2020-02-05 07:20:00,885.63,885.56,891.6574460625744
2020-02-05 07:25:00,888.68,885.63,891.6574460625744
2020-02-05 07:30:00,883.52,888.68,891.6574460625744
2020-02-05 07:35:00,891.02,883.52,891.6574460625744
2020-02-05 07:40:00,894.48,891.02,891.6574460625744
2020-02-05 07:45:00,881.69,894.48,891.6574460625744
2020-02-05 07:50:00,878.88,881.69,891.6574460625744
2020-02-05 07:55:00,885.72,878.88,891.6574460625744
2020-02-05 08:00:00,877.73,885.72,891.6574460625744
2020-02-05 08:05:00,882.82,877.73,891.6574460625744
2020-02-05 08:10:00,897.79,882.82,891.6574460625744
2020-02-05 08:15:00,883.4,897.79,891.6574460625744
2020-02-05 08:20:00,883.57,883.4,891.6574460625744
2020-02-05 08:25:00,887.11,883.57,891.6574460625744
2020-02-05 08:30:00,882.1,887.11,891.6574460625744
2020-02-05 08:35:00,885.46,882.1,891.6574460625744
2020-02-05 08:40:00,878.0,885.46,891.6574460625744
2020-02-05 08:45:00,882.96,878.0,891.6574460625744
2020-02-05 08:50:00,879.79,882.96,891.6574460625744
2020-02-05 08:55:00,873.0,879.79,891.6574460625744
2020-02-05 09:00:00,871.4,873.0,891.6574460625744
2020-02-05 09:05:00,872.03,871.4,891.6574460625744
2020-02-05 09:10:00,867.92,872.03,891.6574460625744
2020-02-05 09:15:00,877.49,867.92,891.6574460625744
2020-02-05 09:20:00,885.39,877.49,891.6574460625744
2020-02-05 09:25:00,879.02,885.39,891.6574460625744
2020-02-05 09:30:00,884.92,879.02,891.6574460625744
2020-02-05 09:35:00,877.1,884.92,891.6574460625744
2020-02-05 09:40:00,879.43,877.1,891.6574460625744
2020-02-05 09:45:00,883.05,879.43,891.6574460625744
2020-02-05 09:50:00,895.77,883.05,891.6574460625744
2020-02-05 09:55:00,889.7,895.77,891.6574460625744
2020-02-05 10:00:00,884.28,889.7,891.6574460625744
2020-02-05 10:05:00,884.73,884.28,891.6574460625744
2020-02-05 10:10:00,882.68,884.73,891.6574460625744
2020-02-05 10:15:00,884.31,882.68,891.6574460625744
2020-02-05 10:20:00,880.53,884.31,891.6574460625744
2020-02-05 10:25:00,885.25,880.53,891.6574460625744
2020-02-05 10:30:00,880.71,885.25,891.6574460625744
2020-02-05 10:35:00,878.42,880.71,891.6574460625744
2020-02-05 10:40:00,876.18,878.42,891.6574460625744
2020-02-05 10:45:00,869.0,876.18,891.6574460625744
2020-02-05 10:50:00,871.19,869.0,891.6574460625744
2020-02-05 10:55:00,885.78,871.19,891.6574460625744
2020-02-05 11:00:00,890.99,885.78,891.6574460625744
2020-02-05 11:05:00,880.94,890.99,891.6574460625744
2020-02-05 11:10:00,877.75,880.94,891.6574460625744
2020-02-05 11:15:00,892.89,877.75,891.6574460625744
2020-02-05 11:20:00,890.48,892.89,891.6574460625744
2020-02-05 11:25:00,885.26,890.48,891.6574460625744
2020-02-05 11:30:00,878.44,885.26,891.6574460625744
2020-02-05 11:35:00,874.7,878.44,891.6574460625744
2020-02-05 11:40:00,887.41,874.7,891.6574460625744
2020-02-05 11:45:00,865.47,887.41,891.6574460625744
2020-02-05 11:50:00,873.85,865.47,891.6574460625744
2020-02-05 11:55:00,907.86,873.85,891.6574460625744
2020-02-05 12:00:00,879.65,907.86,891.6574460625744
2020-02-05 12:05:00,873.31,879.65,891.6574460625744
2020-02-05 12:10:00,888.94,873.31,891.6574460625744
2020-02-05 12:15:00,891.73,888.94,891.6574460625744
2020-02-05 12:20:00,898.84,891.73,891.6574460625744
2020-02-05 12:25:00,909.27,898.84,891.6574460625744
2020-02-05 12:30:00,916.16,909.27,891.6574460625744
2020-02-05 12:35:00,899.06,916.16,891.6574460625744
2020-02-05 12:40:00,894.54,899.06,891.6574460625744
2020-02-05 12:45:00,906.71,894.54,891.6574460625744
2020-02-05 12:50:00,901.04,906.71,891.6574460625744
2020-02-05 12:55:00,878.55,901.04,891.6574460625744
2020-02-05 13:00:00,882.75,878.55,891.6574460625744
2020-02-05 13:05:00,911.91,882.75,891.6574460625744
2020-02-05 13:10:00,887.71,911.91,891.6574460625744
2020-02-05 13:15:00,886.38,887.71,891.6574460625744
2020-02-05 13:20:00,884.77,886.38,891.6574460625744
2020-02-05 13:25:00,902.05,884.77,891.6574460625744
2020-02-05 13:30:00,885.1,902.05,891.6574460625744
2020-02-05 13:35:00,886.81,885.1,891.6574460625744
2020-02-05 13:40:00,890.65,886.81,891.6574460625744
2020-02-05 13:45:00,900.87,890.65,891.6574460625744
2020-02-05 13:50:00,879.95,900.87,891.6574460625744
2020-02-05 13:55:00,893.03,879.95,891.6574460625744
2020-02-05 14:00:00,902.8,893.03,891.6574460625744
2020-02-05 14:05:00,896.79,902.8,891.6574460625744
2020-02-05 14:10:00,889.15,896.79,891.6574460625744
2020-02-05 14:15:00,896.44,889.15,891.6574460625744
2020-02-05 14:20:00,883.86,896.44,891.6574460625744
2020-02-05 14:25:00,880.77,883.86,891.6574460625744
2020-02-05 14:30:00,882.04,880.77,891.6574460625744
2020-02-05 14:35:00,884.24,882.04,891.6574460625744
2020-02-05 14:40:00,898.7,884.24,891.6574460625744
2020-02-05 14:45:00,899.02,898.7,891.6574460625744
2020-02-05 14:50:00,896.13,899.02,891.6574460625744
2020-02-05 14:55:00,891.33,896.13,891.6574460625744
2020-02-05 15:00:00,905.12,891.33,891.6574460625744
2020-02-05 15:05:00,885.03,905.12,891.6574460625744
2020-02-05 15:10:00,881.75,885.03,891.6574460625744
2020-02-05 15:15:00,889.8,881.75,891.6574460625744
2020-02-05 15:20:00,902.21,889.8,891.6574460625744
2020-02-05 15:25:00,881.78,902.21,891.6574460625744
2020-02-05 15:30:00,888.04,881.78,891.6574460625744
2020-02-05 15:35:00,890.73,888.04,891.6574460625744
2020-02-05 15:40:00,896.37,890.73,891.6574460625744
2020-02-05 15:45:00,888.05,896.37,891.6574460625744
2020-02-05 15:50:00,879.64,888.05,891.6574460625744
2020-02-05 15:55:00,881.61,879.64,891.6574460625744
2020-02-05 16:00:00,883.89,881.61,891.6574460625744
2020-02-05 16:05:00,887.31,883.89,891.6574460625744
2020-02-05 16:10:00,895.77,887.31,891.6574460625744
2020-02-05 16:15:00,909.93,895.77,891.6574460625744
2020-02-05 16:20:00,895.11,909.93,891.6574460625744
2020-02-05 16:25:00,890.34,895.11,891.6574460625744
2020-02-05 16:30:00,889.19,890.34,891.6574460625744
2020-02-05 16:35:00,891.17,889.19,891.6574460625744
2020-02-05 16:40:00,889.1,891.17,891.6574460625744
2020-02-05 16:45:00,898.66,889.1,891.6574460625744
2020-02-05 16:50:00,888.98,898.66,891.6574460625744
2020-02-05 16:55:00,877.84,888.98,891.6574460625744
2020-02-05 17:00:00,881.58,877.84,891.6574460625744
2020-02-05 17:05:00,892.63,881.58,891.6574460625744
2020-02-05 17:10:00,880.67,892.63,891.6574460625744
2020-02-05 17:15:00,880.49,880.67,891.6574460625744
2020-02-05 17:20:00,882.12,880.49,891.6574460625744
2020-02-05 17:25:00,894.21,882.12,891.6574460625744
2020-02-05 17:30:00,882.74,894.21,891.6574460625744
2020-02-05 17:35:00,881.74,882.74,891.6574460625744
2020-02-05 17:40:00,882.98,881.74,891.6574460625744
2020-02-05 17:45:00,896.25,882.98,891.6574460625744
2020-02-05 17:50:00,892.25,896.25,891.6574460625744
2020-02-05 17:55:00,896.02,892.25,891.6574460625744
2020-02-05 18:00:00,890.14,896.02,891.6574460625744
2020-02-05 18:05:00,886.02,890.14,891.6574460625744
2020-02-05 18:10:00,882.63,886.02,891.6574460625744
2020-02-05 18:15:00,886.69,882.63,891.6574460625744
2020-02-05 18:20:00,887.15,886.69,891.6574460625744
2020-02-05 18:25:00,890.51,887.15,891.6574460625744
2020-02-05 18:30:00,888.03,890.51,891.6574460625744
2020-02-05 18:35:00,900.63,888.03,891.6574460625744
2020-02-05 18:40:00,897.47,900.63,891.6574460625744
2020-02-05 18:45:00,893.4,897.47,891.6574460625744
2020-02-05 18:50:00,889.91,893.4,891.6574460625744
2020-02-05 18:55:00,893.71,889.91,891.6574460625744
2020-02-05 19:00:00,880.73,893.71,891.6574460625744
2020-02-05 19:05:00,884.15,880.73,891.6574460625744
2020-02-05 19:10:00,880.2,884.15,891.6574460625744
2020-02-05 19:15:00,891.15,880.2,891.6574460625744
2020-02-05 19:20:00,883.91,891.15,891.6574460625744
2020-02-05 19:25:00,882.23,883.91,891.6574460625744
2020-02-05 19:30:00,884.29,882.23,891.6574460625744
2020-02-05 19:35:00,878.84,884.29,891.6574460625744
2020-02-05 19:40:00,892.21,878.84,891.6574460625744
2020-02-05 19:45:00,895.2,892.21,891.6574460625744
2020-02-05 19:50:00,903.79,895.2,891.6574460625744
2020-02-05 19:55:00,921.64,903.79,891.6574460625744
2020-02-05 20:00:00,877.26,921.64,891.6574460625744
2020-02-05 20:05:00,883.01,877.26,891.6574460625744
2020-02-05 20:10:00,900.68,883.01,891.6574460625744
2020-02-05 20:15:00,897.95,900.68,891.6574460625744
2020-02-05 20:20:00,897.11,897.95,891.6574460625744
2020-02-05 20:25:00,927.0,897.11,891.6574460625744
2020-02-05 20:30:00,895.61,927.0,891.6574460625744
2020-02-05 20:35:00,901.9,895.61,891.6574460625744
2020-02-05 20:40:00,884.22,901.9,891.6574460625744
2020-02-05 20:45:00,903.38,884.22,891.6574460625744
2020-02-05 20:50:00,890.35,903.38,891.6574460625744
2020-02-05 20:55:00,902.98,890.35,891.6574460625744
2020-02-05 21:00:00,898.49,902.98,891.6574460625744
2020-02-05 21:05:00,882.09,898.49,891.6574460625744
2020-02-05 21:10:00,891.69,882.09,891.6574460625744
2020-02-05 21:15:00,894.04,891.69,891.6574460625744
2020-02-05 21:20:00,892.32,894.04,891.6574460625744
2020-02-05 21:25:00,907.97,892.32,891.6574460625744
2020-02-05 21:30:00,908.05,907.97,891.6574460625744
2020-02-05 21:35:00,908.26,908.05,891.6574460625744
2020-02-05 21:40:00,897.71,908.26,891.6574460625744
2020-02-05 21:45:00,899.86,897.71,891.6574460625744
2020-02-05 21:50:00,882.9,899.86,891.6574460625744
2020-02-05 21:55:00,916.83,882.9,891.6574460625744
2020-02-05 22:00:00,892.71,916.83,891.6574460625744
2020-02-05 22:05:00,886.66,892.71,891.6574460625744
2020-02-05 22:10:00,903.03,886.66,891.6574460625744
2020-02-05 22:15:00,902.27,903.03,891.6574460625744
2020-02-05 22:20:00,923.99,902.27,891.6574460625744
2020-02-05 22:25:00,885.0,923.99,891.6574460625744
2020-02-05 22:30:00,888.21,885.0,891.6574460625744
2020-02-05 22:35:00,887.88,888.21,891.6574460625744
2020-02-05 22:40:00,887.0,887.88,891.6574460625744
2020-02-05 22:45:00,891.14,887.0,891.6574460625744
